model_set,model_key,scope,camera,beach,island,p90,relMAE_all,relMAE_summer,relMAE_season,is_best
tft_20260323_180247,10d,per_beach,palmanova-matias-beach,Playa de Palmanova,,66.6,0.1513,,0.1766,False
tft_20260323_180247,15d,OVERALL,ALL,,,,0.0655,0.0946,0.0776,False
tft_20260323_180247,15d,per_beach,playa-de-tora_2,Playa de Torà,,43.0,0.0813,,0.0874,False
tft_20260323_180247,15d,per_beach,playa-de-palmira_1,Playa de Palmira,,136.0,0.0861,0.1143,0.0993,False
tft_20260323_180247,15d,per_beach,camp-de-mar_1,Camp de Mar,,286.0,0.0891,,0.0891,False
tft_20260323_180247,15d,per_beach,camp-de-mar_3,Camp de Mar,,11.0,0.0184,,0.0137,False
tft_20260323_180247,15d,per_beach,cala-portals-vells,Cala Portals Vells,,44.0,0.0464,0.0569,0.0518,False
tft_20260323_180247,15d,per_beach,port-dandratx,Brismar,,41.0,0.0684,0.0552,0.0693,False
tft_20260323_180247,15d,per_beach,platja-de-peguera_1,Playa de Palmira,,317.0,0.0306,0.0368,0.035,False
tft_20260323_180247,15d,per_beach,playa-de-tora_1,Playa de Torà,,233.0,0.1777,0.1538,0.1777,False
tft_20260323_180247,15d,per_beach,playa-de-palmira,Playa de Palmira,,149.0,0.0689,0.1443,0.0863,False
tft_20260323_180247,15d,per_beach,playa-de-magaluf,Playa de Magaluf,,111.0,0.1853,0.2097,0.1853,False
tft_20260323_180247,15d,per_beach,port-dandratx_2,Brismar,,288.0,0.1821,,0.1238,False
tft_20260323_180247,15d,per_beach,playa-de-ses-penyes-roges,Playa de ses Penyes Roges,,118.0,0.0485,0.0454,0.0465,False
tft_20260323_180247,15d,per_beach,playa-de-santa-ponca,Playa de Santa Ponça,,59.9,0.0593,,0.0646,False
tft_20260323_180247,15d,per_beach,port-dandratx-port_1,Brismar,,32.0,0.0763,0.0724,0.0695,False
tft_20260323_180247,15d,per_beach,cala-fornells_2,Cala Fornells,,51.0,0.0265,0.0415,0.0275,False
tft_20260323_180247,15d,per_beach,port-dandratx-la-mola_1,Brismar,,108.0,0.1142,0.1134,0.1076,False
tft_20260323_180247,15d,per_beach,cala-llamp,Cala Llamp,,25.0,0.0545,,,False
tft_20260323_180247,15d,per_beach,camp-de-mar_2,Camp de Mar,,21.0,0.0304,,0.0331,False
tft_20260323_180247,15d,per_beach,andratx,Brismar,,0.0,0.0,0.0,0.0,False
tft_20260323_180247,15d,per_beach,cala-fornells_1,Cala Fornells,,33.0,0.0523,0.042,0.0551,False
tft_20260323_180247,15d,per_beach,cala-fornells,Cala Fornells,,26.0,0.0298,0.0316,0.0335,False
tft_20260323_180247,15d,per_beach,playa-de-tora,Playa de Torà,,121.0,0.0804,0.1446,0.0919,False
tft_20260323_180247,15d,per_beach,santa-ponca-serra-de-tramuntana_1,Playa de Santa Ponça,,52.0,0.0731,,0.0822,False
tft_20260323_180247,15d,per_beach,golf-camp-de-mar,Camp de Mar,,148.0,0.2189,0.4063,0.2884,False
tft_20260323_180247,15d,per_beach,platja-marina,Marina,,10.0,0.0349,0.0484,0.0447,False
tft_20260323_180247,15d,per_beach,cala-agulla,Cala Agulla,,8.0,0.058,,0.0682,False
tft_20260323_180247,15d,per_beach,can-pastilla-bonaona,Palma,,194.0,0.1507,0.1986,0.1552,False
tft_20260323_180247,15d,per_beach,cala-vedella_1,Cala Vedella,,5.0,0.0109,0.0165,0.0164,False
tft_20260323_180247,15d,per_beach,cala-vedella,Cala Vedella,,144.0,0.0545,0.1217,0.0887,False
tft_20260323_180247,15d,per_beach,es-pujols,Es Pujols,,30.0,0.0447,0.0777,0.0546,False
tft_20260323_180247,15d,per_beach,punta-de-sa-galera,Punta de Sa Galera,,16.0,0.0233,0.0409,0.035,False
tft_20260323_180247,15d,per_beach,can-pastilla_mallorca-pipeline,Palma,,47.0,0.0323,0.0714,0.048,False
tft_20260323_180247,15d,per_beach,marina,Marina,,10.0,0.0543,0.0469,0.0473,False
tft_20260323_180247,15d,per_beach,muro-sector-i,Muro-Sector I,,49.2,0.0479,,0.0538,False
tft_20260323_180247,15d,per_beach,son-serra-de-marina,Son Serra de Marina,,51.0,0.1551,0.2462,0.1862,False
tft_20260323_180247,15d,per_beach,soller-santa-catalina-nord,Port,,1.0,0.003,0.0058,0.004,False
tft_20260323_180247,15d,per_beach,port,Port,,6.0,0.0178,0.0215,0.0252,False
tft_20260323_180247,15d,per_beach,cala-gat,Cala Gat,,4.0,0.0839,,,False
tft_20260323_180247,15d,per_beach,tora-multimediatres,Playa de Torà,,47.6,0.1534,,,False
tft_20260323_180247,15d,per_beach,pacific-bay-tora-multimediatres,Playa de Torà,,70.0,0.1258,,0.1199,False
tft_20260323_180247,15d,per_beach,port-pollenca-sail-surf,Port Pollença,,14.0,0.0795,,0.0958,False
tft_20260323_180247,15d,per_beach,port-pollenca,Port Pollença,,34.0,0.0463,,0.0446,False
tft_20260323_180247,15d,per_beach,cala-millor-1,Cala Millor Son Servera,,6.0,0.0268,,,False
tft_20260323_180247,15d,per_beach,cala-millor-2,Cala Millor Son Servera,,4.0,0.003,,0.0054,False
tft_20260323_180247,15d,per_beach,palmanova-matias-beach,Playa de Palmanova,,66.6,0.1419,,0.1696,False
tft_20260521_003941,3d,OVERALL,ALL,,,,0.0458,0.0578,0.0529,True
tft_20260521_003941,3d,per_beach,playa-de-tora_2,Playa de Torà,,43.0,0.0711,,0.0732,True
tft_20260521_003941,3d,per_beach,playa-de-palmira_1,Playa de Palmira,,136.0,0.0531,0.0624,0.0583,True
tft_20260521_003941,3d,per_beach,camp-de-mar_1,Camp de Mar,,286.0,0.0615,,0.0615,True
tft_20260521_003941,3d,per_beach,camp-de-mar_3,Camp de Mar,,11.0,0.0127,,0.0148,True
tft_20260521_003941,3d,per_beach,cala-portals-vells,Cala Portals Vells,,44.0,0.0384,0.0468,0.0435,True
tft_20260521_003941,3d,per_beach,port-dandratx,Brismar,,41.0,0.0473,0.0523,0.0485,True
tft_20260521_003941,3d,per_beach,platja-de-peguera_1,Playa de Palmira,,317.0,0.0195,0.0209,0.0212,True
tft_20260521_003941,3d,per_beach,playa-de-tora_1,Playa de Torà,,233.0,0.0972,0.0899,0.0972,True
tft_20260521_003941,3d,per_beach,playa-de-palmira,Playa de Palmira,,149.0,0.0382,0.0576,0.0452,True
tft_20260521_003941,3d,per_beach,playa-de-magaluf,Playa de Magaluf,,111.0,0.136,0.1423,0.136,True
tft_20260521_003941,3d,per_beach,port-dandratx_2,Brismar,,288.0,0.1146,,0.0974,True
tft_20260521_003941,3d,per_beach,playa-de-ses-penyes-roges,Playa de ses Penyes Roges,,118.0,0.0388,0.0338,0.0382,True
tft_20260521_003941,3d,per_beach,playa-de-santa-ponca,Playa de Santa Ponça,,59.9,0.0472,,0.0521,True
tft_20260521_003941,3d,per_beach,port-dandratx-port_1,Brismar,,32.0,0.0636,0.0606,0.0568,True
tft_20260521_003941,3d,per_beach,cala-fornells_2,Cala Fornells,,51.0,0.0226,0.0377,0.0233,True
tft_20260521_003941,3d,per_beach,port-dandratx-la-mola_1,Brismar,,108.0,0.0741,0.0682,0.0706,True
tft_20260521_003941,3d,per_beach,cala-llamp,Cala Llamp,,25.0,0.042,,0.0174,True
tft_20260521_003941,3d,per_beach,camp-de-mar_2,Camp de Mar,,21.0,0.0285,,0.0396,True
tft_20260521_003941,3d,per_beach,andratx,Brismar,,0.0,0.0,0.0,0.0,True
tft_20260521_003941,3d,per_beach,cala-fornells_1,Cala Fornells,,33.0,0.0458,0.0373,0.0479,True
tft_20260521_003941,3d,per_beach,cala-fornells,Cala Fornells,,26.0,0.0257,0.0276,0.0287,True
tft_20260521_003941,3d,per_beach,playa-de-tora,Playa de Torà,,121.0,0.051,0.0718,0.0561,True
tft_20260521_003941,3d,per_beach,santa-ponca-serra-de-tramuntana_1,Playa de Santa Ponça,,52.0,0.0578,,0.0629,True
tft_20260521_003941,3d,per_beach,golf-camp-de-mar,Camp de Mar,,148.0,0.0931,0.1657,0.1245,True
tft_20260521_003941,3d,per_beach,platja-marina,Marina,,10.0,0.0319,0.0436,0.0413,True
tft_20260521_003941,3d,per_beach,cala-agulla,Cala Agulla,,8.0,0.0507,,0.062,True
tft_20260521_003941,3d,per_beach,can-pastilla-bonaona,Palma,,194.0,0.0902,0.1206,0.0958,True
tft_20260521_003941,3d,per_beach,cala-vedella_1,Cala Vedella,,5.0,0.0095,0.016,0.0147,True
tft_20260521_003941,3d,per_beach,cala-vedella,Cala Vedella,,144.0,0.035,0.0621,0.054,True
tft_20260521_003941,3d,per_beach,es-pujols,Es Pujols,,30.0,0.0347,0.0515,0.0426,True
tft_20260521_003941,3d,per_beach,punta-de-sa-galera,Punta de Sa Galera,,16.0,0.0167,0.024,0.0236,True
tft_20260521_003941,3d,per_beach,can-pastilla_mallorca-pipeline,Palma,,47.0,0.0302,0.0609,0.0425,True
tft_20260521_003941,3d,per_beach,marina,Marina,,10.0,0.045,0.0334,0.0404,True
tft_20260521_003941,3d,per_beach,muro-sector-i,Muro-Sector I,,49.2,0.0385,,0.0448,True
tft_20260521_003941,3d,per_beach,son-serra-de-marina,Son Serra de Marina,,51.0,0.1068,0.1459,0.1286,True
tft_20260521_003941,3d,per_beach,soller-santa-catalina-nord,Port,,1.0,0.0015,0.0014,0.0017,True
tft_20260521_003941,3d,per_beach,port,Port,,6.0,0.0173,0.0239,0.0261,True
tft_20260521_003941,3d,per_beach,cala-gat,Cala Gat,,4.0,0.0506,,,True
tft_20260521_003941,3d,per_beach,tora-multimediatres,Playa de Torà,,47.6,0.0625,,,True
tft_20260521_003941,3d,per_beach,pacific-bay-tora-multimediatres,Playa de Torà,,70.0,0.1076,,0.1046,True
tft_20260521_003941,3d,per_beach,port-pollenca-sail-surf,Port Pollença,,14.0,0.0722,,0.0854,True
tft_20260521_003941,3d,per_beach,port-pollenca,Port Pollença,,34.0,0.0364,,0.0353,True
tft_20260521_003941,3d,per_beach,cala-millor-1,Cala Millor Son Servera,,6.0,0.0367,,0.4755,True
tft_20260521_003941,3d,per_beach,cala-millor-2,Cala Millor Son Servera,,4.0,0.0204,,0.0065,True
tft_20260521_003941,3d,per_beach,palmanova-matias-beach,Playa de Palmanova,,66.6,0.108,,0.1437,True
tft_20260521_003941,10d,OVERALL,ALL,,,,0.0514,0.0686,0.0604,True
tft_20260521_003941,10d,per_beach,playa-de-tora_2,Playa de Torà,,43.0,0.0721,,0.0777,True
tft_20260521_003941,10d,per_beach,playa-de-palmira_1,Playa de Palmira,,136.0,0.0613,0.0844,0.0705,True
tft_20260521_003941,10d,per_beach,camp-de-mar_1,Camp de Mar,,286.0,0.0705,,0.0705,True
tft_20260521_003941,10d,per_beach,camp-de-mar_3,Camp de Mar,,11.0,0.0126,,0.0147,True
tft_20260521_003941,10d,per_beach,cala-portals-vells,Cala Portals Vells,,44.0,0.0407,0.0542,0.0472,True
tft_20260521_003941,10d,per_beach,port-dandratx,Brismar,,41.0,0.0543,0.0618,0.0553,True
tft_20260521_003941,10d,per_beach,platja-de-peguera_1,Playa de Palmira,,317.0,0.0209,0.022,0.0227,True
tft_20260521_003941,10d,per_beach,playa-de-tora_1,Playa de Torà,,233.0,0.127,0.1262,0.127,True
tft_20260521_003941,10d,per_beach,playa-de-palmira,Playa de Palmira,,149.0,0.0436,0.0727,0.0544,True
tft_20260521_003941,10d,per_beach,playa-de-magaluf,Playa de Magaluf,,111.0,0.1483,0.162,0.1483,True
tft_20260521_003941,10d,per_beach,port-dandratx_2,Brismar,,288.0,0.1087,,0.0989,True
tft_20260521_003941,10d,per_beach,playa-de-ses-penyes-roges,Playa de ses Penyes Roges,,118.0,0.0419,0.0371,0.0408,True
tft_20260521_003941,10d,per_beach,playa-de-santa-ponca,Playa de Santa Ponça,,59.9,0.0484,,0.0571,True
tft_20260521_003941,10d,per_beach,port-dandratx-port_1,Brismar,,32.0,0.0711,0.0727,0.0655,True
tft_20260521_003941,10d,per_beach,cala-fornells_2,Cala Fornells,,51.0,0.0243,0.0396,0.0258,True
tft_20260521_003941,10d,per_beach,port-dandratx-la-mola_1,Brismar,,108.0,0.0829,0.0652,0.0726,True
tft_20260521_003941,10d,per_beach,cala-llamp,Cala Llamp,,25.0,0.0368,,,True
tft_20260521_003941,10d,per_beach,camp-de-mar_2,Camp de Mar,,21.0,0.0326,,0.0362,True
tft_20260521_003941,10d,per_beach,andratx,Brismar,,0.0,0.0,0.0,0.0,True
tft_20260521_003941,10d,per_beach,cala-fornells_1,Cala Fornells,,33.0,0.0514,0.0381,0.0543,True
tft_20260521_003941,10d,per_beach,cala-fornells,Cala Fornells,,26.0,0.0284,0.0326,0.0323,True
tft_20260521_003941,10d,per_beach,playa-de-tora,Playa de Torà,,121.0,0.0589,0.0824,0.0656,True
tft_20260521_003941,10d,per_beach,santa-ponca-serra-de-tramuntana_1,Playa de Santa Ponça,,52.0,0.0777,,0.0875,True
tft_20260521_003941,10d,per_beach,golf-camp-de-mar,Camp de Mar,,148.0,0.1203,0.2407,0.167,True
tft_20260521_003941,10d,per_beach,platja-marina,Marina,,10.0,0.0336,0.0497,0.0449,True
tft_20260521_003941,10d,per_beach,cala-agulla,Cala Agulla,,8.0,0.0545,,0.0695,True
tft_20260521_003941,10d,per_beach,can-pastilla-bonaona,Palma,,194.0,0.0992,0.1294,0.1059,True
tft_20260521_003941,10d,per_beach,cala-vedella_1,Cala Vedella,,5.0,0.01,0.0158,0.0156,True
tft_20260521_003941,10d,per_beach,cala-vedella,Cala Vedella,,144.0,0.0415,0.07,0.0653,True
tft_20260521_003941,10d,per_beach,es-pujols,Es Pujols,,30.0,0.0398,0.0632,0.0495,True
tft_20260521_003941,10d,per_beach,punta-de-sa-galera,Punta de Sa Galera,,16.0,0.018,0.0274,0.0248,True
tft_20260521_003941,10d,per_beach,can-pastilla_mallorca-pipeline,Palma,,47.0,0.0331,0.0726,0.0477,True
tft_20260521_003941,10d,per_beach,marina,Marina,,10.0,0.0483,0.0343,0.0431,True
tft_20260521_003941,10d,per_beach,muro-sector-i,Muro-Sector I,,49.2,0.04,,0.0468,True
tft_20260521_003941,10d,per_beach,son-serra-de-marina,Son Serra de Marina,,51.0,0.1154,0.1726,0.1427,True
tft_20260521_003941,10d,per_beach,soller-santa-catalina-nord,Port,,1.0,0.0019,0.0017,0.0019,True
tft_20260521_003941,10d,per_beach,port,Port,,6.0,0.0171,0.0228,0.025,True
tft_20260521_003941,10d,per_beach,cala-gat,Cala Gat,,4.0,0.0824,,,True
tft_20260521_003941,10d,per_beach,tora-multimediatres,Playa de Torà,,47.6,0.1001,,,True
tft_20260521_003941,10d,per_beach,pacific-bay-tora-multimediatres,Playa de Torà,,70.0,0.1432,,0.1105,True
tft_20260521_003941,10d,per_beach,port-pollenca-sail-surf,Port Pollença,,14.0,0.0669,,0.0767,True
tft_20260521_003941,10d,per_beach,port-pollenca,Port Pollença,,34.0,0.0464,,0.0334,True
tft_20260521_003941,10d,per_beach,cala-millor-1,Cala Millor Son Servera,,6.0,0.0475,,,True
tft_20260521_003941,10d,per_beach,cala-millor-2,Cala Millor Son Servera,,4.0,0.0229,,,True
tft_20260521_003941,10d,per_beach,palmanova-matias-beach,Playa de Palmanova,,66.6,0.1427,,0.1648,True
tft_20260521_003941,15d,OVERALL,ALL,,,,0.0558,0.0746,0.0649,True
tft_20260521_003941,15d,per_beach,playa-de-tora_2,Playa de Torà,,43.0,0.0747,,0.0828,True
tft_20260521_003941,15d,per_beach,playa-de-palmira_1,Playa de Palmira,,136.0,0.0634,0.0765,0.0721,True
tft_20260521_003941,15d,per_beach,camp-de-mar_1,Camp de Mar,,286.0,0.0707,,0.0707,True
tft_20260521_003941,15d,per_beach,camp-de-mar_3,Camp de Mar,,11.0,0.0173,,0.013,True
tft_20260521_003941,15d,per_beach,cala-portals-vells,Cala Portals Vells,,44.0,0.0393,0.0499,0.0443,True
tft_20260521_003941,15d,per_beach,port-dandratx,Brismar,,41.0,0.06,0.0675,0.0597,True
tft_20260521_003941,15d,per_beach,platja-de-peguera_1,Playa de Palmira,,317.0,0.0221,0.024,0.024,True
tft_20260521_003941,15d,per_beach,playa-de-tora_1,Playa de Torà,,233.0,0.1389,0.1194,0.1389,True
tft_20260521_003941,15d,per_beach,playa-de-palmira,Playa de Palmira,,149.0,0.0466,0.0765,0.0564,True
tft_20260521_003941,15d,per_beach,playa-de-magaluf,Playa de Magaluf,,111.0,0.1366,0.1272,0.1366,True
tft_20260521_003941,15d,per_beach,port-dandratx_2,Brismar,,288.0,0.1307,,0.1138,True
tft_20260521_003941,15d,per_beach,playa-de-ses-penyes-roges,Playa de ses Penyes Roges,,118.0,0.0458,0.0423,0.046,True
tft_20260521_003941,15d,per_beach,playa-de-santa-ponca,Playa de Santa Ponça,,59.9,0.0664,,0.0777,True
tft_20260521_003941,15d,per_beach,port-dandratx-port_1,Brismar,,32.0,0.0745,0.0715,0.0677,True
tft_20260521_003941,15d,per_beach,cala-fornells_2,Cala Fornells,,51.0,0.0282,0.048,0.0301,True
tft_20260521_003941,15d,per_beach,port-dandratx-la-mola_1,Brismar,,108.0,0.094,0.0686,0.0782,True
tft_20260521_003941,15d,per_beach,cala-llamp,Cala Llamp,,25.0,0.0544,,,True
tft_20260521_003941,15d,per_beach,camp-de-mar_2,Camp de Mar,,21.0,0.0283,,0.0318,True
tft_20260521_003941,15d,per_beach,andratx,Brismar,,0.0,0.0,0.0,0.0,True
tft_20260521_003941,15d,per_beach,cala-fornells_1,Cala Fornells,,33.0,0.0554,0.0411,0.0595,True
tft_20260521_003941,15d,per_beach,cala-fornells,Cala Fornells,,26.0,0.029,0.0325,0.0322,True
tft_20260521_003941,15d,per_beach,playa-de-tora,Playa de Torà,,121.0,0.0675,0.1172,0.0767,True
tft_20260521_003941,15d,per_beach,santa-ponca-serra-de-tramuntana_1,Playa de Santa Ponça,,52.0,0.0717,,0.0779,True
tft_20260521_003941,15d,per_beach,golf-camp-de-mar,Camp de Mar,,148.0,0.1748,0.3534,0.2292,True
tft_20260521_003941,15d,per_beach,platja-marina,Marina,,10.0,0.0327,0.0445,0.0419,True
tft_20260521_003941,15d,per_beach,cala-agulla,Cala Agulla,,8.0,0.062,,0.0663,True
tft_20260521_003941,15d,per_beach,can-pastilla-bonaona,Palma,,194.0,0.1149,0.1347,0.1204,True
tft_20260521_003941,15d,per_beach,cala-vedella_1,Cala Vedella,,5.0,0.0102,0.0154,0.0158,True
tft_20260521_003941,15d,per_beach,cala-vedella,Cala Vedella,,144.0,0.0448,0.0821,0.0717,True
tft_20260521_003941,15d,per_beach,es-pujols,Es Pujols,,30.0,0.0407,0.0663,0.0493,True
tft_20260521_003941,15d,per_beach,punta-de-sa-galera,Punta de Sa Galera,,16.0,0.0192,0.0257,0.0265,True
tft_20260521_003941,15d,per_beach,can-pastilla_mallorca-pipeline,Palma,,47.0,0.0326,0.0729,0.0487,True
tft_20260521_003941,15d,per_beach,marina,Marina,,10.0,0.0553,0.0482,0.046,True
tft_20260521_003941,15d,per_beach,muro-sector-i,Muro-Sector I,,49.2,0.0448,,0.05,True
tft_20260521_003941,15d,per_beach,son-serra-de-marina,Son Serra de Marina,,51.0,0.1273,0.1913,0.1541,True
tft_20260521_003941,15d,per_beach,soller-santa-catalina-nord,Port,,1.0,0.0017,0.002,0.002,True
tft_20260521_003941,15d,per_beach,port,Port,,6.0,0.0179,0.023,0.0255,True
tft_20260521_003941,15d,per_beach,cala-gat,Cala Gat,,4.0,0.1122,,,True
tft_20260521_003941,15d,per_beach,tora-multimediatres,Playa de Torà,,47.6,0.1532,,,True
tft_20260521_003941,15d,per_beach,pacific-bay-tora-multimediatres,Playa de Torà,,70.0,0.1114,,0.1047,True
tft_20260521_003941,15d,per_beach,port-pollenca-sail-surf,Port Pollença,,14.0,0.0748,,0.0881,True
tft_20260521_003941,15d,per_beach,port-pollenca,Port Pollença,,34.0,0.0392,,0.0335,True
tft_20260521_003941,15d,per_beach,cala-millor-1,Cala Millor Son Servera,,6.0,0.0409,,,True
tft_20260521_003941,15d,per_beach,cala-millor-2,Cala Millor Son Servera,,4.0,0.0052,,0.0065,True
tft_20260521_003941,15d,per_beach,palmanova-matias-beach,Playa de Palmanova,,66.6,0.1487,,0.1789,True
tft_new_20260312_215405,3d,OVERALL,ALL,,,,0.051,0.0652,0.0591,False
tft_new_20260312_215405,3d,per_beach,playa-de-tora_2,Playa de Torà,,43.0,0.0715,,0.0776,False
tft_new_20260312_215405,3d,per_beach,playa-de-palmira_1,Playa de Palmira,,136.0,0.0625,0.0689,0.0685,False
tft_new_20260312_215405,3d,per_beach,camp-de-mar_1,Camp de Mar,,286.0,0.083,,0.083,False
tft_new_20260312_215405,3d,per_beach,camp-de-mar_3,Camp de Mar,,11.0,0.0187,,0.025,False
tft_new_20260312_215405,3d,per_beach,cala-portals-vells,Cala Portals Vells,,44.0,0.042,0.0521,0.0472,False
tft_new_20260312_215405,3d,per_beach,port-dandratx,Brismar,,41.0,0.0499,0.0555,0.0511,False
tft_new_20260312_215405,3d,per_beach,platja-de-peguera_1,Playa de Palmira,,317.0,0.0226,0.0237,0.0245,False
tft_new_20260312_215405,3d,per_beach,playa-de-tora_1,Playa de Torà,,233.0,0.1058,0.107,0.1058,False
tft_new_20260312_215405,3d,per_beach,playa-de-palmira,Playa de Palmira,,149.0,0.0467,0.0724,0.0565,False
tft_new_20260312_215405,3d,per_beach,playa-de-magaluf,Playa de Magaluf,,111.0,0.1491,0.1588,0.1491,False
tft_new_20260312_215405,3d,per_beach,port-dandratx_2,Brismar,,288.0,0.1189,,0.104,False
tft_new_20260312_215405,3d,per_beach,playa-de-ses-penyes-roges,Playa de ses Penyes Roges,,118.0,0.0423,0.0352,0.0406,False
tft_new_20260312_215405,3d,per_beach,playa-de-santa-ponca,Playa de Santa Ponça,,59.9,0.0538,,0.0562,False
tft_new_20260312_215405,3d,per_beach,port-dandratx-port_1,Brismar,,32.0,0.0671,0.0628,0.0601,False
tft_new_20260312_215405,3d,per_beach,cala-fornells_2,Cala Fornells,,51.0,0.0274,0.0446,0.0283,False
tft_new_20260312_215405,3d,per_beach,port-dandratx-la-mola_1,Brismar,,108.0,0.0785,0.0698,0.0736,False
tft_new_20260312_215405,3d,per_beach,cala-llamp,Cala Llamp,,25.0,0.0451,,0.0138,False
tft_new_20260312_215405,3d,per_beach,camp-de-mar_2,Camp de Mar,,21.0,0.0306,,0.038,False
tft_new_20260312_215405,3d,per_beach,andratx,Brismar,,0.0,0.0003,0.0003,0.0003,False
tft_new_20260312_215405,3d,per_beach,cala-fornells_1,Cala Fornells,,33.0,0.0543,0.0488,0.0579,False
tft_new_20260312_215405,3d,per_beach,cala-fornells,Cala Fornells,,26.0,0.0296,0.0304,0.0327,False
tft_new_20260312_215405,3d,per_beach,playa-de-tora,Playa de Torà,,121.0,0.055,0.0732,0.0595,False
tft_new_20260312_215405,3d,per_beach,santa-ponca-serra-de-tramuntana_1,Playa de Santa Ponça,,52.0,0.0592,,0.0636,False
tft_new_20260312_215405,3d,per_beach,golf-camp-de-mar,Camp de Mar,,148.0,0.1094,0.1892,0.1418,False
tft_new_20260312_215405,3d,per_beach,platja-marina,Marina,,10.0,0.035,0.0499,0.0455,False
tft_new_20260312_215405,3d,per_beach,cala-agulla,Cala Agulla,,8.0,0.0585,,0.0712,False
tft_new_20260312_215405,3d,per_beach,can-pastilla-bonaona,Palma,,194.0,0.1091,0.1504,0.1161,False
tft_new_20260312_215405,3d,per_beach,cala-vedella_1,Cala Vedella,,5.0,0.0103,0.0161,0.0155,False
tft_new_20260312_215405,3d,per_beach,cala-vedella,Cala Vedella,,144.0,0.0408,0.0738,0.0632,False
tft_new_20260312_215405,3d,per_beach,es-pujols,Es Pujols,,30.0,0.0397,0.0626,0.0487,False
tft_new_20260312_215405,3d,per_beach,punta-de-sa-galera,Punta de Sa Galera,,16.0,0.0186,0.0265,0.0259,False
tft_new_20260312_215405,3d,per_beach,can-pastilla_mallorca-pipeline,Palma,,47.0,0.0307,0.0599,0.0428,False
tft_new_20260312_215405,3d,per_beach,marina,Marina,,10.0,0.0493,0.0349,0.0435,False
tft_new_20260312_215405,3d,per_beach,muro-sector-i,Muro-Sector I,,49.2,0.0424,,0.0493,False
tft_new_20260312_215405,3d,per_beach,son-serra-de-marina,Son Serra de Marina,,51.0,0.1173,0.1623,0.1435,False
tft_new_20260312_215405,3d,per_beach,soller-santa-catalina-nord,Port,,1.0,0.0026,0.0027,0.0029,False
tft_new_20260312_215405,3d,per_beach,port,Port,,6.0,0.0188,0.0268,0.0279,False
tft_new_20260312_215405,3d,per_beach,cala-gat,Cala Gat,,4.0,0.0537,,,False
tft_new_20260312_215405,3d,per_beach,tora-multimediatres,Playa de Torà,,47.6,0.0618,,,False
tft_new_20260312_215405,3d,per_beach,pacific-bay-tora-multimediatres,Playa de Torà,,70.0,0.1107,,0.113,False
tft_new_20260312_215405,3d,per_beach,port-pollenca-sail-surf,Port Pollença,,14.0,0.0759,,0.0892,False
tft_new_20260312_215405,3d,per_beach,port-pollenca,Port Pollença,,34.0,0.0394,,0.039,False
tft_new_20260312_215405,3d,per_beach,cala-millor-1,Cala Millor Son Servera,,6.0,0.0418,,0.8284,False
tft_new_20260312_215405,3d,per_beach,cala-millor-2,Cala Millor Son Servera,,4.0,0.0271,,0.0761,False
tft_new_20260312_215405,3d,per_beach,palmanova-matias-beach,Playa de Palmanova,,66.6,0.1145,,0.1549,False
tft_new_20260312_215405,10d,OVERALL,ALL,,,,0.0539,0.0679,0.062,False
tft_new_20260312_215405,10d,per_beach,playa-de-tora_2,Playa de Torà,,43.0,0.0791,,0.0877,False
tft_new_20260312_215405,10d,per_beach,playa-de-palmira_1,Playa de Palmira,,136.0,0.0637,0.0704,0.0725,False
tft_new_20260312_215405,10d,per_beach,camp-de-mar_1,Camp de Mar,,286.0,0.0734,,0.0734,False
tft_new_20260312_215405,10d,per_beach,camp-de-mar_3,Camp de Mar,,11.0,0.017,,0.019,False
tft_new_20260312_215405,10d,per_beach,cala-portals-vells,Cala Portals Vells,,44.0,0.0421,0.0538,0.0484,False
tft_new_20260312_215405,10d,per_beach,port-dandratx,Brismar,,41.0,0.05,0.0549,0.0504,False
tft_new_20260312_215405,10d,per_beach,platja-de-peguera_1,Playa de Palmira,,317.0,0.0229,0.0226,0.0249,False
tft_new_20260312_215405,10d,per_beach,playa-de-tora_1,Playa de Torà,,233.0,0.1046,0.103,0.1046,False
tft_new_20260312_215405,10d,per_beach,playa-de-palmira,Playa de Palmira,,149.0,0.0472,0.0706,0.059,False
tft_new_20260312_215405,10d,per_beach,playa-de-magaluf,Playa de Magaluf,,111.0,0.1458,0.1409,0.1458,False
tft_new_20260312_215405,10d,per_beach,port-dandratx_2,Brismar,,288.0,0.1153,,0.1054,False
tft_new_20260312_215405,10d,per_beach,playa-de-ses-penyes-roges,Playa de ses Penyes Roges,,118.0,0.0432,0.0347,0.0418,False
tft_new_20260312_215405,10d,per_beach,playa-de-santa-ponca,Playa de Santa Ponça,,59.9,0.0512,,0.0614,False
tft_new_20260312_215405,10d,per_beach,port-dandratx-port_1,Brismar,,32.0,0.066,0.0655,0.0603,False
tft_new_20260312_215405,10d,per_beach,cala-fornells_2,Cala Fornells,,51.0,0.026,0.0412,0.027,False
tft_new_20260312_215405,10d,per_beach,port-dandratx-la-mola_1,Brismar,,108.0,0.0815,0.0654,0.073,False
tft_new_20260312_215405,10d,per_beach,cala-llamp,Cala Llamp,,25.0,0.0391,,,False
tft_new_20260312_215405,10d,per_beach,camp-de-mar_2,Camp de Mar,,21.0,0.0274,,0.0351,False
tft_new_20260312_215405,10d,per_beach,andratx,Brismar,,0.0,0.0001,0.0001,0.0001,False
